,m_poor_1_20_old,m_poor_1_33,m_poor_1_50,m_poor_1_20,Year,level,area,dem,SourceSheet,sector,StateName,multidimensionally_poor_1_33,multidimensionally_poor_1_50,head_age_cat,edu_group,head_gender,hhsize_cat
161,0.501131415,0.152981803,0,0.348149612,2019,State,All,Age,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA
162,0.321242183,0.117979847,0.016007978,0.203262336,2019,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,15 to 29,NA,NA,NA
163,0.296666563,0.118338503,0.025721375,0.17832806,2019,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,30 to 45,NA,NA,NA
164,0.366943121,0.159679279,0.028135628,0.207263842,2019,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,45 to 64,NA,NA,NA
165,0.457581013,0.248140126,0.01578062,0.209440887,2019,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,65+,NA,NA,NA
166,0,0,0,0,2019,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
167,0.309099346,0.080588192,0.005617822,0.228511154,2019,State,All,Age,state,99,Delhi,NA,NA,15 to 29,NA,NA,NA
168,0.140511036,0.050140709,0.00935942,0.090370327,2019,State,All,Age,state,99,Delhi,NA,NA,30 to 45,NA,NA,NA
169,0.068905696,0.020226786,0.002515272,0.04867891,2019,State,All,Age,state,99,Delhi,NA,NA,45 to 64,NA,NA,NA
170,0.048922975,0.012745496,0,0.036177479,2019,State,All,Age,state,99,Delhi,NA,NA,65+,NA,NA,NA
171,0,0,0,0,2019,State,All,Age,state,99,Delhi,NA,NA,NA,NA,NA,NA
172,0.205293164,0.068415336,0,0.136877828,2019,State,All,Age,state,99,Goa,NA,NA,15 to 29,NA,NA,NA
173,0.130492479,0.02737624,0.00550436,0.103116239,2019,State,All,Age,state,99,Goa,NA,NA,30 to 45,NA,NA,NA
174,0.061955832,0.006735127,0,0.055220705,2019,State,All,Age,state,99,Goa,NA,NA,45 to 64,NA,NA,NA
175,0.042062707,0.008590381,0,0.033472326,2019,State,All,Age,state,99,Goa,NA,NA,65+,NA,NA,NA
176,0,0,0,0,2019,State,All,Age,state,99,Goa,NA,NA,NA,NA,NA,NA
177,0.524284303,0.271891445,0.072104901,0.252392858,2019,State,All,Age,state,99,Gujarat,NA,NA,15 to 29,NA,NA,NA
178,0.340665549,0.164614707,0.040313631,0.176050842,2019,State,All,Age,state,99,Gujarat,NA,NA,30 to 45,NA,NA,NA
179,0.305534363,0.124969713,0.022581439,0.18056465,2019,State,All,Age,state,99,Gujarat,NA,NA,45 to 64,NA,NA,NA
180,0.258817941,0.111252233,0.015696539,0.147565708,2019,State,All,Age,state,99,Gujarat,NA,NA,65+,NA,NA,NA
