,m_poor_1_33,m_poor_1_50,Year,round,level,area,dem,SourceSheet,sector,state,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
159,0.155935362,0.02363525,2019,5,State,All,Age,state,99,Chhattisgarh,46 to 64,NA,NA,NA,NA,NA
160,0.173985347,0.023196392,2019,5,State,All,Age,state,99,Chhattisgarh,65+,NA,NA,NA,NA,NA
161,0.152981803,0,2019,5,State,All,Age,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA
162,0.117979847,0.016007978,2019,5,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,15 to 29,NA,NA,NA,NA,NA
163,0.118338503,0.025721375,2019,5,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,30 to 45,NA,NA,NA,NA,NA
164,0.159679279,0.028135628,2019,5,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,46 to 64,NA,NA,NA,NA,NA
165,0.248140126,0.01578062,2019,5,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,65+,NA,NA,NA,NA,NA
166,0,0,2019,5,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
167,0.080588192,0.005617822,2019,5,State,All,Age,state,99,Delhi,15 to 29,NA,NA,NA,NA,NA
168,0.050140709,0.00935942,2019,5,State,All,Age,state,99,Delhi,30 to 45,NA,NA,NA,NA,NA
169,0.020226786,0.002515272,2019,5,State,All,Age,state,99,Delhi,46 to 64,NA,NA,NA,NA,NA
170,0.012745496,0,2019,5,State,All,Age,state,99,Delhi,65+,NA,NA,NA,NA,NA
171,0,0,2019,5,State,All,Age,state,99,Delhi,NA,NA,NA,NA,NA,NA
172,0.068415336,0,2019,5,State,All,Age,state,99,Goa,15 to 29,NA,NA,NA,NA,NA
173,0.02737624,0.00550436,2019,5,State,All,Age,state,99,Goa,30 to 45,NA,NA,NA,NA,NA
174,0.006735127,0,2019,5,State,All,Age,state,99,Goa,46 to 64,NA,NA,NA,NA,NA
175,0.008590381,0,2019,5,State,All,Age,state,99,Goa,65+,NA,NA,NA,NA,NA
176,0,0,2019,5,State,All,Age,state,99,Goa,NA,NA,NA,NA,NA,NA
177,0.271891445,0.072104901,2019,5,State,All,Age,state,99,Gujarat,15 to 29,NA,NA,NA,NA,NA
178,0.164614707,0.040313631,2019,5,State,All,Age,state,99,Gujarat,30 to 45,NA,NA,NA,NA,NA
179,0.124969713,0.022581439,2019,5,State,All,Age,state,99,Gujarat,46 to 64,NA,NA,NA,NA,NA
180,0.111252233,0.015696539,2019,5,State,All,Age,state,99,Gujarat,65+,NA,NA,NA,NA,NA
181,0.103869066,0,2019,5,State,All,Age,state,99,Gujarat,NA,NA,NA,NA,NA,NA
182,0.209576651,0.066630028,2019,5,State,All,Age,state,99,Haryana,15 to 29,NA,NA,NA,NA,NA
183,0.091343567,0.02587278,2019,5,State,All,Age,state,99,Haryana,30 to 45,NA,NA,NA,NA,NA
184,0.050432567,0.005596388,2019,5,State,All,Age,state,99,Haryana,46 to 64,NA,NA,NA,NA,NA
185,0.052302819,0.009559592,2019,5,State,All,Age,state,99,Haryana,65+,NA,NA,NA,NA,NA
186,0.128989577,0,2019,5,State,All,Age,state,99,Haryana,NA,NA,NA,NA,NA,NA
187,0.165141046,0.045181621,2019,5,State,All,Age,state,99,Himachal Pradesh,15 to 29,NA,NA,NA,NA,NA
188,0.063503802,0.010248168,2019,5,State,All,Age,state,99,Himachal Pradesh,30 to 45,NA,NA,NA,NA,NA
189,0.0407557,0.002418412,2019,5,State,All,Age,state,99,Himachal Pradesh,46 to 64,NA,NA,NA,NA,NA
