group,year,sector,state,state_sec_quint,state_quint,sec_quint,nat_quint,Quintile_Overall,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear,type,level
state_quint,2011,All,Andhra Pradesh,,5,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Arunachal Pradesh,,,,,99,0.6,0.26,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Arunachal Pradesh,1,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Arunachal Pradesh,2,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Arunachal Pradesh,3,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Arunachal Pradesh,4,,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Arunachal Pradesh,5,,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Arunachal Pradesh,,,,,99,0.61,0.15,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Arunachal Pradesh,1,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Arunachal Pradesh,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Arunachal Pradesh,3,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Arunachal Pradesh,4,,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Arunachal Pradesh,5,,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Arunachal Pradesh,,,,,99,0.6,0.24,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Arunachal Pradesh,,1,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Arunachal Pradesh,,2,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Arunachal Pradesh,,3,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Arunachal Pradesh,,4,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Arunachal Pradesh,,5,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Assam,,,,,99,0.77,0.79,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Assam,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Assam,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Assam,3,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Assam,4,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Assam,5,,,,5,1,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Assam,,,,,99,0.51,0.49,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Assam,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Assam,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Assam,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Assam,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Assam,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Assam,,,,,99,0.74,0.76,,,,,,,,,,,,,,,,,,,,,
