,inc_selfemp,inc_salaried,inc_casual,year,level,area,SourceSheet,sector2,state,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,age_cat1,age_cat2,age_cat3,age_cat4,owns_land
3128,0.560393512,0.286219299,0.037526079,2011,state,urban/rural,sector_state,1,Manipur,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3129,0.554306507,0.260144711,0.032586027,2011,state,urban/rural,sector_state,1,Manipur,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3130,0.39870891,0.158220723,0.090535387,2011,state,urban/rural,sector_state,1,Manipur,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3131,0.292872667,0.587379158,0.071401015,2011,state,urban/rural,sector_state,1,Mizoram,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3132,0.358627766,0.509309769,0.085867107,2011,state,urban/rural,sector_state,1,Mizoram,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3133,0.302217752,0.454015821,0.11335855,2011,state,urban/rural,sector_state,1,Mizoram,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3134,0.244359374,0.223044649,0.211612046,2011,state,urban/rural,sector_state,1,Mizoram,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3135,0.506843865,0.301669329,0.191486806,2011,state,urban/rural,sector_state,1,Tripura,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3136,0.476966083,0.298847228,0.15740712,2011,state,urban/rural,sector_state,1,Tripura,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3137,0.333661348,0.376287222,0.106289819,2011,state,urban/rural,sector_state,1,Tripura,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3138,0.153504476,0.262013614,0.004187895,2011,state,urban/rural,sector_state,1,Tripura,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3139,0.396915108,0.449156076,0.084620692,2011,state,urban/rural,sector_state,1,Meghalaya,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3140,0.327108234,0.561607301,0.056352567,2011,state,urban/rural,sector_state,1,Meghalaya,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3141,0.248557523,0.616567016,0.057594541,2011,state,urban/rural,sector_state,1,Meghalaya,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3142,0.010489041,0.274294108,0.095795795,2011,state,urban/rural,sector_state,1,Meghalaya,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3143,0.620249331,0.204383105,0.055942532,2011,state,urban/rural,sector_state,1,Assam,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3144,0.407836646,0.464098275,0.04671013,2011,state,urban/rural,sector_state,1,Assam,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3145,0.462633431,0.301786065,0.118415028,2011,state,urban/rural,sector_state,1,Assam,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3146,0.192842692,0.2818923,0.127215862,2011,state,urban/rural,sector_state,1,Assam,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3147,0.52194345,0.262477905,0.178893447,2011,state,urban/rural,sector_state,1,West Bengal,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3148,0.470226616,0.338757336,0.139988497,2011,state,urban/rural,sector_state,1,West Bengal,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3149,0.312848777,0.433007389,0.094739981,2011,state,urban/rural,sector_state,1,West Bengal,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3150,0.166157559,0.391040742,0.136833847,2011,state,urban/rural,sector_state,1,West Bengal,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3151,0.342083871,0.403223485,0.125896201,2011,state,urban/rural,sector_state,1,Jharkhand,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3152,0.346656352,0.386659443,0.206747115,2011,state,urban/rural,sector_state,1,Jharkhand,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3153,0.316231042,0.415837586,0.113830209,2011,state,urban/rural,sector_state,1,Jharkhand,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3154,0.079867326,0.234198004,0.146760359,2011,state,urban/rural,sector_state,1,Jharkhand,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
